GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
clicktopay-reference-app,com.mastercard.mcs.clicktopay.controller,CheckoutController,0,21,0,0,0,6,0,2,0,2
clicktopay-reference-app,com.mastercard.mcs.clicktopay.controller,MerchantRegistrationController,0,48,0,8,0,11,0,7,0,3
clicktopay-reference-app,com.mastercard.mcs.clicktopay.controller,ConfigController,0,21,0,0,0,5,0,2,0,2
clicktopay-reference-app,com.mastercard.mcs.clicktopay.controller,ConfirmationController,0,16,0,0,0,5,0,2,0,2
clicktopay-reference-app,com.mcs.clicktopay.checkout.invoker.auth,HttpBasicAuth,44,0,8,0,13,0,10,0,6,0
clicktopay-reference-app,com.mcs.clicktopay.checkout.invoker.auth,ApiKeyAuth,76,9,10,0,20,4,12,1,7,1
clicktopay-reference-app,com.mcs.clicktopay.checkout.invoker.auth,HttpBearerAuth,52,6,6,0,11,3,9,1,6,1
clicktopay-reference-app,com.mastercard.mcs.clicktopay.service,MasterCardC2PMerchantRegistrationService,0,180,0,4,0,34,0,6,0,4
clicktopay-reference-app,com.mastercard.mcs.clicktopay.service,MasterCardC2PConfirmationService,0,82,0,0,0,17,0,4,0,4
clicktopay-reference-app,com.mastercard.mcs.clicktopay.service,MasterCardCommonService,0,174,0,8,0,44,0,11,0,7
clicktopay-reference-app,com.mastercard.mcs.clicktopay.service,MasterCardC2PCheckoutService,0,251,0,6,0,51,0,6,0,3
clicktopay-reference-app,com.mastercard.mcs.clicktopay.service,MasterCardC2PCheckoutService.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
clicktopay-reference-app,com.mcs.clicktopay.confirmations.invoker,GzipRequestInterceptor.new RequestBody() {...},27,0,0,0,5,0,4,0,4,0
clicktopay-reference-app,com.mcs.clicktopay.confirmations.invoker,GzipRequestInterceptor.new RequestBody() {...},28,0,0,0,7,0,4,0,4,0
